id	scope	type	title	trigger	command	description	keywords	source
notes-daily	omarchy	desktop	Open Daily Note	Open Daily Note	omarchy-notes-daily	Open today's markdown note	notes daily journal launcher markdown	stow/os-omarchy/scripts/.local/share/applications/dotfiles-notes-daily.desktop
notes-projects	omarchy	desktop	Open Notes Projects	Open Notes Projects	omarchy-notes-projects	Open ~/Documents/Notes/projects in Yazi	notes projects yazi launcher	stow/os-omarchy/scripts/.local/share/applications/dotfiles-notes-projects.desktop
todo-open	omarchy	desktop	Open Todo	Open Todo	omarchy-todo open	Open ~/Documents/Notes/todo.txt in the todo drawer	todo tasks notes launcher	stow/os-omarchy/scripts/.local/share/applications/dotfiles-notes-todo.desktop
repo-todo	global	cli	Repo todo	repo todo	repo todo	Open .repo/TODO.md for the current Git repository	repo todo tasks scratchpad project git	stow/global/scripts/.local/bin/repo
repo-todo-add	global	cli	Add repo todo	repo todo add <task>	repo todo add <task>	Append a task to .repo/TODO.md for the current Git repository	repo todo add task inbox project git	stow/global/scripts/.local/bin/repo
repo-notes	global	cli	Repo notes	repo notes	repo notes	Open .repo/NOTES.md for the current Git repository	repo notes scratchpad project git	stow/global/scripts/.local/bin/repo
repo-decisions	global	cli	Repo decisions	repo decisions	repo decisions	Open .repo/DECISIONS.md for the current Git repository	repo decisions adr log project git	stow/global/scripts/.local/bin/repo
repo-status	global	cli	Repo status	repo status	repo status	Show repository branch, clean state, sync state, and open tasks	repo status git todo tasks project	stow/global/scripts/.local/bin/repo
repo-omarchy-todo	global	cli	Omarchy global todo	repo omarchy-todo	repo omarchy-todo	Open the shared Omarchy todo file at ~/Documents/Notes/todo.txt	repo omarchy todo global notes syncthing tasks	stow/global/scripts/.local/bin/repo
repo-omarchy-todo-add	global	cli	Add Omarchy todo	repo omarchy-todo add <task>	repo omarchy-todo add <task>	Append a task to the shared Omarchy todo file	repo omarchy todo add global notes syncthing tasks	stow/global/scripts/.local/bin/repo
dotfiles-status	global	cli	Dotfiles status	dotfiles status	dotfiles status	Show machine, layers, package drift, sync tools, stow state, and recovery pack	status dotfiles stow sync recovery package drift	scripts/dotfiles
dotfiles-update	global	cli	Dotfiles update	dotfiles update	dotfiles update	Pull latest config, install missing packages, and re-stow layers	update dotfiles git stow packages sync	scripts/dotfiles
dotfiles-apply	global	cli	Dotfiles apply	dotfiles apply	dotfiles apply	Re-stow active layers after editing configs	apply dotfiles stow config	scripts/dotfiles
dotfiles-doctor	global	cli	Dotfiles doctor	dotfiles doctor	dotfiles doctor	Run lightweight bootstrap and desktop health checks	doctor health validate dotfiles stow hyprland	scripts/dotfiles
dotfiles-wallpaper-rotate	omarchy	cli	Rotate wallpaper	dotfiles wallpaper rotate	dotfiles wallpaper rotate	Rotate Omarchy wallpaper from repo and local wallpaper folders	wallpaper background rotate omarchy swaybg	scripts/dotfiles
dotfiles-wallpaper-status	omarchy	cli	Wallpaper status	dotfiles wallpaper status	dotfiles wallpaper status	Show Omarchy wallpaper timer, interval, and wallpaper counts	wallpaper background status timer omarchy	scripts/dotfiles
dotfiles-wallpaper-open-local	omarchy	cli	Open local wallpapers	dotfiles wallpaper open-local	dotfiles wallpaper open-local	Open the machine-local personal wallpaper folder	wallpaper background local pictures omarchy	scripts/dotfiles
dotfiles-autostart	global	cli	Dotfiles autostart audit	dotfiles autostart status	dotfiles autostart status	Audit login and startup items with adoption commands	autostart login startup xdg systemd hypr dotfiles	scripts/lib/autostart.sh
dotfiles-commands-list	global	cli	Dotfiles command registry	dotfiles commands list	dotfiles commands list	List registry-backed shortcuts, aliases, tmux layouts, and commands	discovery commands list launcher search	scripts/dotfiles
dotfiles-commands-search	global	cli	Search dotfiles commands	dotfiles commands search <query>	dotfiles commands search <query>	Search registry-backed dotfiles shortcuts and commands	discovery commands search launcher registry	scripts/dotfiles
dotfiles-commands-doctor	global	cli	Validate dotfiles registry	dotfiles commands doctor	dotfiles commands doctor	Validate the discovery registry format and referenced source paths	discovery commands doctor validate registry	scripts/dotfiles
tailscale-login	global	cli	Tailscale login	sudo tailscale up	sudo tailscale up	Connect this machine to Tailscale after install	tailscale vpn sync network login	scripts/dotfiles
atuin-sync	global	cli	Atuin sync	atuin login && atuin sync	atuin login && atuin sync	Log in and sync shell history with Atuin	atuin shell history sync login	scripts/dotfiles
recovery-pack	global	cli	Recovery pack status	dotfiles status	dotfiles status	Show whether the encrypted recovery pack exists and what to do next	recovery pack encrypted keys backup secrets	CLAUDE.md
server-bootstrap-minimal	global	cli	Minimal server bootstrap	bootstrap.sh --minimal	curl -fsSL https://raw.githubusercontent.com/jfrancolopez/dotfiles/main/scripts/bootstrap.sh | bash -s -- --minimal	Terminal-only bootstrap for headless Debian/Ubuntu servers; refuses to run on desktop machines	server minimal headless debian ubuntu vps bootstrap ssh	scripts/bootstrap.sh
terminal-cheatsheet	global	cli	Terminal cheatsheet	dotfiles commands search <query>	less ~/dotfiles/docs/terminal-cheatsheet.md	Consolidated aliases, tmux/TDL, git, history, and server-diagnostic reference	cheatsheet aliases tmux tdl reference docs server	docs/terminal-cheatsheet.md
